bin,bid,YearBuilt,BuildingType,NumberofFloors,PropertyGFATotal,SiteEnergyUse(kBtu),geometry,Building Age,Total Carbon
1,331163045,1927,Commercial,12,88434,7333372.0,POINT (549751.8245956855 5273411.622478464),95,791124.511110402
2,232076569,1996,Commercial,11,103566,5135498.0,POINT (550080.1613506975 5273511.13074204),26,554017.7621643151
5,223929030,1926,Commercial,10,61320,7282760.0,POINT (549851.455469047 5273625.873509861),96,785664.4862055805
8,359942514,1980,Commercial,18,175580,12066758.0,POINT (549563.9820287884 5273582.298211772),42,1301762.412085127
9,37546711,1999,Institutional,2,97288,10092095.0,POINT (549854.7102472029 5273860.4190258635),23,1088735.676160262
10,232076568,1926,Commercial,11,83008,5731688.0,POINT (550137.9858315983 5273603.878868397),96,618334.7669854137
12,240874271,1904,Commercial,15,163984,12878732.0,POINT (550163.4947659818 5272385.9405884305),118,1389358.2048233596
13,110175997,1910,Residential,6,63712,4238979.0,POINT (550222.9713352564 5272375.337950928),112,457301.2509091671
16,232080299,1998,Commercial,25,333176,24635250.0,POINT (550084.8421828694 5272878.751404379),24,2657651.911335267
18,396824069,1980,Commercial,33,353111,16972288.0,POINT (550196.9017507802 5272958.628576339),42,1830971.2157551728
19,358232880,1922,Commercial,11,92190,4933287.0,POINT (550173.3675482947 5272898.407291123),100,532203.2301160097
21,37056442,2004,Institutional,11,412000,13908105.0,POINT (550134.5461960945 5272780.258865167),18,1500407.0117535477
23,4909813718,1983,Commercial,28,416281,29220000.0,POINT (550298.8410090903 5272817.240484124),39,3152254.9537437824
24,232088575,1907,Commercial,5,57452,6611587.0,POINT (550239.5508856426 5272632.227364407),115,713258.3118705677
26,37551460,1916,Commercial,10,540360,51240692.0,POINT (550323.124043046 5272355.0836749775),106,5527848.226908261
27,37551462,1985,Commercial,19,385274,48712712.0,POINT (550479.1339588518 5272482.026766253),37,5255129.627388576
28,228018346,1961,Educational,2,56228,2020136.0,POINT (555041.4981449973 5266074.577335351),61,217932.36527159988
29,223363048,2001,Commercial,6,88592,3384201.0,POINT (551254.3586769234 5278690.767750836),21,365087.7606678529
30,223927929,1928,Commercial,7,126593,8311346.0,POINT (549873.9158679992 5274075.09484769),94,896628.3915393075
33,223937028,2001,Commercial,10,171866,8535897.0,POINT (550372.4268332476 5274043.815232422),21,920852.9638226108
34,1008633540,1955,Educational,1,126351,6611672.0,POINT (552185.369764209 5274595.492380593),67,713267.4816745057
35,223926962,1978,Commercial,5,68410,3463646.0,POINT (549457.7976528567 5273784.792953781),44,373658.2909484886
36,54395173,1949,Educational,2,160645,8528203.0,POINT (553033.0948899426 5284304.126672036),73,920022.9347461528
37,53057484,1989,Educational,2,51582,1609479.0,POINT (548700.7526701901 5275703.461455146),33,173630.66908612556
40,220911653,1994,Commercial,4,81871,5261327.0,POINT (552579.3289988864 5279397.259692653),28,567592.2005138915
43,231289031,1992,Educational,3,2026324,579555072.0,POINT (551338.6077020568 5264837.171828596),30,62522428.017773256
50,221905383,1990,Educational,2,54986,2038251.0,POINT (545768.9418365041 5278326.05706006),32,219886.6123108562
51,39857169,1950,Educational,2,175565,9962670.0,POINT (552913.0557063463 5281255.343907663),72,1074773.301164085
53,228721661,1900,Commercial,2,52554,2629252.0,POINT (551787.5662548873 5269888.238970445),122,283643.8275715519
54,222580851,1954,Commercial,3,175015,10114125.0,POINT (549863.6255741582 5281938.627362907),68,1091112.2735808976
56,358980801,1969,Commercial,24,332210,12504120.0,POINT (550101.6455024121 5273110.078951635),53,1348945.044907827
59,363046816,1910,Commercial,8,59400,1841722.0,POINT (549757.2137119503 5273220.497843537),112,198685.05468579417
60,232079821,1926,Commercial,2,64597,10458805.0,POINT (549796.3288952351 5273040.775789182),96,1128296.3679497
65,409363106,1985,Commercial,7,71150,4501186.0,POINT (549499.1622804366 5273161.616886002),37,485588.15421704855
66,189283346,1908,Commercial,7,122810,5662422.0,POINT (549515.7081764047 5273337.367487711),114,610862.3476963646
68,217604429,2000,Commercial,7,150453,6539374.0,POINT (549387.4957965647 5274276.572468541),22,705467.970084986
69,217604432,1997,Commercial,6,116300,4137276.0,POINT (549357.2134244454 5274302.990914441),25,446329.5265573326
77,231753675,1999,Commercial,4,122942,3571892.0,POINT (549245.8736111065 5274851.1092299735),23,385335.87444345606
82,990199767,1962,Commercial,2,54984,3703678.0,POINT (551892.3332424631 5272989.032335327),60,399552.95422901656
84,231268993,1922,Commercial,5,371257,44282896.0,POINT (546829.789608399 5267404.516720591),100,4777240.872078053
86,231664155,2008,Commercial,6,84103,3771744.0,POINT (550186.3710211082 5274268.94803696),14,406895.9174624705
96,236757204,1983,Commercial,6,121099,13955605.0,POINT (550628.7142911303 5273002.37477007),39,1505531.313954192
102,217604444,1990,Commercial,7,282863,17231016.0,POINT (550094.4612430044 5274995.052471619),32,1858882.8043818744
107,148414092,2010,Commercial,12,571329,32219716.0,POINT (549871.1008007724 5274404.0626624385),12,3475864.4547986924
